Tick, X-Pos, Y-Pos, Z-Pos, X-Vel, Y-Vel, Z-Vel, Speed
108, 1054.294994, -210.5328144, 0, 5.404070414, -3.311227996, 0, 6.33783937
109, 1059.672044, -213.8524863, 0, 5.35002971, -3.328115716, 0, 6.300727904
110, 1064.995323, -217.1889614, 0, 5.296529413, -3.344834558, 0, 6.264275062
111, 1070.26537, -220.5420718, 0, 5.243564119, -3.361386213, 0, 6.228473484
112, 1075.482716, -223.9116511, 0, 5.191128478, -3.377772351, 0, 6.193315826
113, 1080.647889, -227.2975346, 0, 5.139217193, -3.393994627, 0, 6.158794759
114, 1085.76141, -230.6995593, 0, 5.087825021, -3.410054681, 0, 6.124902968
115, 1090.823796, -234.1175637, 0, 5.036946771, -3.425954134, 0, 6.091633156
116, 1095.835558, -237.551388, 0, 4.986577303, -3.441694593, 0, 6.058978038
117, 1100.797203, -241.0008741, 0, 4.93671153, -3.457277647, 0, 6.026930351
118, 1105.709231, -244.4658654, 0, 4.887344415, -3.47270487, 0, 5.995482845
119, 1110.572138, -247.9462067, 0, 4.838470971, -3.487977822, 0, 5.964628288
120, 1115.386417, -251.4417447, 0, 4.790086261, -3.503098043, 0, 5.934359468
121, 1120.152553, -254.9523272, 0, 4.742185398, -3.518067063, 0, 5.904669187
122, 1124.871027, -258.477804, 0, 4.694763544, -3.532886392, 0, 5.875550272
123, 1129.542317, -262.0180259, 0, 4.647815909, -3.547557528, 0, 5.846995565
124, 1134.166894, -265.5728457, 0, 4.60133775, -3.562081953, 0, 5.818997932
125, 1138.745225, -269.1421172, 0, 4.555324372, -3.576461134, 0, 5.791550257
126, 1143.277773, -272.725696, 0, 4.509771129, -3.590696522, 0, 5.764645449
127, 1147.764995, -276.3234391, 0, 4.464673417, -3.604789557, 0, 5.738276438
128, 1152.207345, -279.9352047, 0, 4.420026683, -3.618741662, 0, 5.712436178
129, 1156.605272, -283.5608526, 0, 4.375826416, -3.632554245, 0, 5.68711765
130, 1160.959219, -287.2002441, 0, 4.332068152, -3.646228702, 0, 5.662313858
131, 1165.269627, -290.8532417, 0, 4.288747471, -3.659766415, 0, 5.638017833
132, 1169.53693, -294.5197092, 0, 4.245859996, -3.673168751, 0, 5.614222634
133, 1173.761561, -298.1995122, 0, 4.203401396, -3.686437064, 0, 5.590921348
134, 1177.943945, -301.892517, 0, 4.161367382, -3.699572693, 0, 5.568107093
135, 1182.084506, -305.5985919, 0, 4.119753708, -3.712576966, 0, 5.545773016
